Date,Country,Confirmed,Death,Recovered,Active,New Cases
2021-08-04T00:00:00Z,Canada,1206985,24253,1405971,0,0
2021-08-05T00:00:00Z,Canada,1208111,24271,0,1183840,1126
2021-08-06T00:00:00Z,Canada,1209294,24285,0,1185009,1183
2021-08-07T00:00:00Z,Canada,1209879,24290,0,1185589,585
2021-08-08T00:00:00Z,Canada,1210461,24292,0,1186169,582
2021-08-09T00:00:00Z,Canada,1212653,24302,0,1188351,2192
2021-08-04T00:00:00Z,Japan,971905,15246,852451,104208,0
2021-08-05T00:00:00Z,Japan,987206,15254,0,971952,15301
2021-08-06T00:00:00Z,Japan,1002693,15272,0,987421,15487
2021-08-07T00:00:00Z,Japan,1017728,15287,0,1002441,15035
2021-08-08T00:00:00Z,Japan,1032080,15295,0,1016785,14352
2021-08-09T00:00:00Z,Japan,1044992,15308,0,1029684,12912
2021-08-04T00:00:00Z,South Africa,2484009,73415,2258603,151991,0
2021-08-05T00:00:00Z,South Africa,2497655,73873,0,2423782,13646
2021-08-06T00:00:00Z,South Africa,2511178,74352,0,2436826,13523
2021-08-07T00:00:00Z,South Africa,2523488,74623,0,2448865,12310
2021-08-08T00:00:00Z,South Africa,2533466,74813,0,2458653,9978
2021-08-09T00:00:00Z,South Africa,2540222,75012,0,2465210,6756
2021-08-10T00:00:00Z,South Africa,2540222,75012,0,2465210,0
